index,Enzyme:,Reaction:,T(K),pH ,I<sub>m</sub>(mol.kg<sup>-1</sup>),δ<sub>r</sub>H(cal)/kJ mol<sup>-1</sup>),Reference:,Reference ID:,EC Value:,Method:,Buffer:
2345, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),298.19,8.66,0.018,-73.1,,,,,
2346, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),298.19,8.66,0.093,-70.8,,,,,
2347, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),298.19,8.66,0.099,-72.7,,,,,
2348, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),298.19,8.66,0.12 ,-71.2,,,,,
2349, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),298.19,8.67,0.049,-71.5,,,,,
2350, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),298.19,8.67,0.12 ,-72.5,,,,,
2351, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),298.19,8.68,0.078,-71.3,,,,,
2352, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),298.19,8.68,0.094,-70.9,,,,,
2353, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),298.19,8.69,0.092,-71.4,,,,,
2354, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),298.19,8.71,0.045,-69.8,,,,,
2355, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),298.19,8.71,0.15 ,-71.8,,,,,
2356, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),298.19,8.72,0.25 ,-71.6,,,,,
2357, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),298.19,9.01,0.095 ,-72.4,,,,,
2358, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),298.19,9.01,0.099 ,-70.4,,,,,
2359, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),301.66,8.63,0.12,-72.1,,,,,
2360, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),305.11,8.65,0.12,-71.6,,,,,
