index,Enzyme:,Reaction:,T(K),pH ,buffer and/or salt ,I<sub>c</sub>(mol dm<sup>-3</sup>),δ<sub>r</sub>H(cal)/kJ mol<sup>-1</sup>),Reference:,Reference ID:,EC Value:,Method:,Buffer:
757, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,6.96,NaCl + Tris,2.001,-28.7,,,,,
758, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,7.01,NH4Cl,0.00282,-28.1,,,,,
759, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,7.13,phosphate,0.00401,-24.1,,,,,
760, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,7.15,NH4Cl,0.01041,-26.7,,,,,
761, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,7.15,NH4Cl,0.0406,-27.4,,,,,
762, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,7.16,NH4Cl,0.01081,-28.2,,,,,
763, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,7.24,NH4Cl + CaCl2,0.256,-25.5,,,,,
764, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,7.30,NaCl + Tris,0.550,-29.6,,,,,
765, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,7.30,NH4Cl ,1.44,-24.5,,,,,
766, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,7.30,Tris,0.0506,-28.7,,,,,
767, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,7.31,NH4Cl ,1.60,-22.6,,,,,
768, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,7.33,NH4Cl + CaCl2,1.295,-24.7,,,,,
769, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,7.34,NH4Cl + CaCl2,0.655,-27.6,,,,,
770, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,7.35,NH4Cl ,1.76,-23.6,,,,,
771, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,7.38,NH4Cl ,0.40,-26.6,,,,,
772, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,7.39,NH4Cl ,0.96,-23.3,,,,,
773, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,7.40,NH4Cl ,0.40,-27.8,,,,,
774, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,7.40,NH4Cl ,0.40,-28.3,,,,,
775, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,7.41,NaCl + Tris,0.138,-27.9,,,,,
776, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,7.42,NH4Cl ,0.80,-25.3,,,,,
777, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,7.42,NH4Cl ,0.96,-27.8,,,,,
778, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,7.43,NH4Cl ,0.20,-27.1,,,,,
779, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,7.43,NH4Cl ,0.40,-26.7,,,,,
780, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,7.43,Tris,0.0643,-28.2,,,,,
781, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,7.44,NH4Cl ,0.80,-26.9,,,,,
