index,Enzyme:,Reaction:,T(K),pH ,"c(Mg2+,mol dm<sup>-3</sup>)",K' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
2686, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.14,4.7E-5,3.47E-2,,,,,
2687, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.14,4.8E-5,3.39E-2,,,,,
2688, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.15,4.6E-5,3.38E-2,,,,,
2689, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.16,3.32E-3,6.17E-3,,,,,
2690, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.16,3.48E-3,6.49E-3,,,,,
2691, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.19,3.42E-3,6.49E-3,,,,,
2692, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.32,1.19E-2,6.41E-3,,,,,
2693, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.33,1.20E-2,6.49E-3,,,,,
2694, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.33,1.21E-2,6.76E-3,,,,,
2695, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.34,1.18E-2,7.58E-3,,,,,
2696, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.35,1.20E-2,6.90E-3,,,,,
2697, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.37,1.19E-2,7.14E-3,,,,,
2698, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.38,1.17E-2,6.10E-3,,,,,
2699, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.39,1.17E-2,7.52E-3,,,,,
