index,Enzyme:,Reaction:,T(K),pH ,"c(MgCl2,mol dm<sup>-3</sup>)",I<sub>c</sub>(mol dm<sup>-3</sup>),K<sub>c</sub>' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
2931, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,6.98,0,0.71,55.8,,,,,
2932, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,6.98,0,0.71,58.2,,,,,
2933, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,6.98,0,1.0,55.8,,,,,
2934, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,6.98,0,1.0,58.9,,,,,
2935, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,7.00,0.0067,0.25,47.4,,,,,
2936, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,7.00,0.0067,0.25,47.8,,,,,
2937, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,7.00,0.010,0.25,47.8,,,,,
2938, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,7.00,0.010,0.25,49.8,,,,,
2939, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,7.00,0.0133,0.25,49.8,,,,,
2940, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,7.00,0.0133,0.25,50.0,,,,,
2941, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,7.00,0.0200,0.25,50.0,,,,,
2942, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,7.00,0.0200,0.25,51.1,,,,,
2943, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,7.00,0,0.25,47.4,,,,,
2944, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,7.00,0,0.25,49.9,,,,,
2945, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,7.36,0,0.25,49.8,,,,,
2946, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,7.43,0,0.25,46.1,,,,,
2947, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,7.66,0,0.25,45.0,,,,,
2948, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,7.73,0,0.25,46.8,,,,,
2949, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,8.02,0,0.25,47.0,,,,,
2950, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,8.12,0,0.25,48.3,,,,,
2951, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,8.13,0,0.25,49.4,,,,,
2952, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,8.16,0,0.25,51.0,,,,,
