index,Enzyme:,Reaction:,T(K),pH ,"c(Mg2+,mol dm<sup>-3</sup>)",I<sub>c</sub>(mol dm<sup>-3</sup>),K' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
2848, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.00,0,0.75,68.0,,,,,
2849, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.00,1.10E-2,0.25,73.0,,,,,
2850, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.00,1.12E-2,0.25,73.5,,,,,
2851, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.00,1.31E-3,0.25,93.4,,,,,
2852, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.00,1.31E-3,0.25,95.1,,,,,
2853, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.00,2.02E-3,0.25,79.6,,,,,
2854, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.00,2.03E-3,0.25,80.6,,,,,
2855, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.00,2.65E-3,0.25,91.6,,,,,
2856, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.00,2.68E-3,0.25,88.9,,,,,
2857, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.00,4.10E-3,0.25,83.6,,,,,
2858, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.00,4.12E-3,0.25,88.6,,,,,
2859, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.00,5.26E-3,0.25,76.9,,,,,
2860, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.00,5.34E-3,0.25,74.9,,,,,
2861, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.00,5.55E-3,0.25,86.1,,,,,
2862, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.00,5.58E-3,0.25,84.8,,,,,
2863, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.01,0,0.25,81.5,,,,,
2864, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.01,0,0.25,84.4,,,,,
2865, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.02,0,0.25,93.0,,,,,
2866, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.03,0,0.25,99.5,,,,,
2867, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.15,0,0.25,88.4,,,,,
2868, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.15,0,0.25,89.6,,,,,
2869, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.17,0,0.25,93.6,,,,,
2870, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.19,0,0.25,96.4,,,,,
2871, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.22,0,0.25,92.2,,,,,
2872, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.23,0,0.25,96.2,,,,,
2873, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.51,0,0.25,86.1,,,,,
2874, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.53,0,0.25,88.6,,,,,
